# 二简词
be	表示
kao	可能
kau	开始
kav	夸张
ki	考虑
kia	看见
kii	刻苦
kio	块钱
kiu	科技
kiv	快点
ko	可是
koa	开心
koi	空间
koo	肯定
kou	看着
kov	渴望
ku	控制
kua	快乐
kui	空白
kuo	可爱
kuu	靠近
kuv	空气
kv	开车
kva	看到
kvi	快速
kvo	看来
kvu	看成
kvv	款式
la	例如
laa	连续
lai	来了
lao	练习
lau	良好
lav	立即
li	两个
lia	类似
lii	令人
lio	两位
liu	老师
liv	联合
lo	老是
loa	理论
loi	力量
loo	厉害
lou	来着
lov	立刻
lu	了解
lua	联系
lui	来自
luo	老爸
luu	懒得
luv	力气
lv	里面
lva	来到
lvi	留下
lvo	领域
lvu	老板
lvv	离开
ma	妈妈
maa	梦乡
mai	妹子
mao	面对
mau	美女
mav	勉强
mi	每个
mia	默默
mii	某个
mio	没错
miu	摸摸
miv	马上
mo	目前
moa	名叫
moi	明显
moo	慢慢
mou	面前
mov	每次
mu	明白
mua	没用
mui	目的
muo	摸索
muu	矛盾
muv	每种
mv	没有
mva	密切
mvi	没事
mvo	描述
mvu	明确
mvv	每天
na	能力
naa	年纪
nai	脑子
nao	难以
nau	你好
nav	农民
ni	你们
nia	那里
nii	那个
nio	那位
niu	难看
niv	那些
no	难道
noa	耐心
noi	那是
noo	难怪
nou	难道
nov	内部
nu	那么
nua	能够
nui	你的
nuo	难受
nuu	难得
nuv	那种
nv	那样
nva	拿到
nvi	难过
nvo	拿来
nvu	能有
nvv	那天
pa	普通
paa	婆婆
pai	牌子
pao	平淡
pau	旁边
pav	啤酒
pi	配合
pia	苹果
pii	评价
pio	平常
piu	拍摄
piv	拼命
po	漂亮
poa	评论
poi	拍照
poo	便宜
pou	判断
pov	片刻
pu	品牌
pua	排名
pui	片段
puo	评分
puu	平衡
puv	皮肤
pv	朋友
pva	跑到
pvi	匹配
pvo	平均
pvu	排列
pvv	平静
qa	逐渐
qaa	情绪
qai	妻子
qao	针对
qau	正好
qav	去那
qi	其他
qia	其中
qii	整个
qio	正常
qiu	掌握
qiv	整体
qo	其实
qoa	区别
qoi	请问
qoo	确实
qou	正义
qov	情况
qu	准备
qua	着急
qui	真的
quo	全都
quu	期待
quv	青年
qv	正在
qva	轻轻
qvi	主要
qvo	起来
qvu	前面
qvv	清楚
ra	人民
raa	热水
rai	日子
rao	人流
rau	人力
rav	人群
ri	如果
ria	如同
rii	让人
rio	如今
riu	软件
riv	任何
ro	认为
roa	认识
roi	容易
roo	人家
rou	人数
rov	任意
ru	然后
rua	任务
rui	热血
ruo	认真
ruu	日后
ruv	人生
rv	然而
rva	柔软
rvi	人才
rvo	认可
rvu	热烈
rvv	让开
sa	所以
saa	送给
sai	算了
sao	所能
sau	散发
sav	随即
si 	随便
sia	送回
sii	四个
sio	思念
siu	随手
siv	宿舍
so	随时
soa	所谓
soi	算是
soo	锁定
sou	随着
sov	速度
su	虽然
sua	四周
sui	碎片
suo	似乎
suu	素质
suv	三种
sv	所有
sva	送到
svi	私下
svo	送来
svu	司机
svv	三天
ta	提出
taa	体验
tai	太阳
tao	天赋
tau	头发
tav	淘汰
ti	他们
tia	听见
tii	推荐
tio	她们
tiu	条件
tiv	停止
to	特别
toa	听说
toi	同时
too	天空
tou	提前
tov	同意
tu	他的
tua	突然
tui	她的
tuo	头脑
tuu	特征
tuv	通知
tv	统一
tva	听到
tvi	通过
tvo	同样
tvu	特殊
tvv	天天
wa	为了
waa	网络
wai	充满
wao	温柔
wau	无力
wav	无法
wi	我们
wia	位置
wii	五个
wio	微信
wiu	文件
wiv	晚上
wo	问题
woa	忘记
woi	温暖
woo	晚安
wou	完美
wov	重新
wu	我的
wua	吃饭
wui	冲向
wuo	充分
wuu	往往
wuv	微笑
wv	完成
wva	无比
wvi	无聊
wvo	未来
wvu	外面
wvv	唯一
xa	喜欢
xaa	系统
xai	行了
xao	学习
xau	幸好
xav	而已
xi	而且
xia	效果
xii	羡慕
xio	相信
xiu	选择
xiv	安全
xo	而是
xoa	谢谢
xoi	像是
xoo	心情
xou	想着
xov	希望
xu	许多
xua	想象
xui	休息
xuo	享受
xuu	显得
xuv	下午
xv	现在
xva	想到
xvi	需要
xvo	下来
xvu	下面
xvv	安静
ya	已经
yaa	预测
yai	样子
yao	游戏
yau	一边
yav	一张
yi	一个
yia	意思
yii	有个
yio	一位
yiu	优势
yiv	一些
yo	因为
yoa	应该
yoi	也是
yoo	一定
you	以为
yov	一次
yu	以后
yua	以外
yui	有的
yuo	一直
yuu	一般
yuv	一种
yv	一样
yva	一切
yvi	一下
yvo	一起
yvu	拥有
yvv	一天
za	自己
zaa	最终
zai	做了
zao	足以
zau	最好
zav	增强
zi	自由
zia	再见
zii	作业
zio	咱们
ziu	责任
ziv	早上
zo	总是
zoa	再说
zoi	暂时
zoo	作品
zou	作为
zov	最新
zu	怎么
zua	作用
zui	走向
zuo	最爱
zuu	最后
zuv	总算
zv	咋样
zva	做到
zvi	坐下
zvo	再来
zvu	坐在
zvv	自动
# 单字
b	不
bb	宾
bba	滨
bbaa	缤
bbaaoo	缤
bbai	濒
bbaivi	濒
bbao	濵
bbaooa	滨 濵
bbi	摈
bbia	髌
bbiaoo	髌
bbio	傧
bbioo	镔
bbiooa	傧
bbiooo	镔
bbiuoo	摈
bbiv	豳
bbivua	豳
bbo	斌
bboo	賔
bbooai	賔
bbooui	宾
bbovvv	斌
bbu	膑
bbuo	邠
bbuoa	䐔
bbuoai	邠
bbuoav	䐔
bbuooa	膑
bbv	彬
bbvi	鬓
bbvioo	鬓
bbviv	髩
bbvivi	髩
bbvo	槟
bbvooa	槟
bbvov	霦
bbvovv	霦
bbvu	殡
bbvui	梹
bbvuiv	梹
bbvuo	椕
bbvuoa	椕
bbvuoo	殡
bbvuv	豩
bbvuvu	豩
bbvv	玢
bbvvo	瑸
bbvvoo	瑸
bbvvuo	玢
bbvvuu	彬
bc	表
bca	婊
bcaa	骠
bcaaa	骉
bcaaaa	骉
bcaavi	骠
bcai	滮
bcaiv	淲
bcaiva	滮 淲
bcao	瀌
bcaov	𰷫
bcaovu	瀌 𰷫
bcauvv	婊
bci	彪
bcia	幖
bciavi	幖
bcii	蔈
bciio	藨
bciiov	藨
bciivi	蔈
bcio	镖
bcioo	镳
bcioov	镳
bciov	儦
bciovi	镖
bciovu	儦
bciovv	𰾍
bciu	摽
bciuvi	摽
bciv	俵
bcivuu	彪
bcivvi	俵
bco	裱
bcoa	褾
bcoavi	褾
bcoavv	裱
bcou	熛
bcouvi	熛
bcov	瘭
bcovo	麃
bcovoo	麃
bcovvi	瘭
bcu	膘
bcua	飚
bcuaou	飚
bcuau	飑
bcuaua	飑
bcuav	鳔
bcuavi	鳔
bcuavu	𱃠
bcui	爂
bcuiou	爂
bcuo	臕
bcuovu	臕
bcuv	脿
bcuvia	膘
bcuvo	穮
bcuvov	穮
bcuvvi	脿
bcv	标
bcvi	髟
bcvio	䙳
bcviou	䙳
bcviuu	髟
bcvo	墂
bcvovi	墂
bcvu	飙
bcvua	杓
bcvuao	杓
bcvuua	飙
bcvuv	猋
bcvuvi	嫑
bcvuvu	猋
bcvv	檦
bcvvi	樮
bcvvia	檦 樮
bcvvua	表
bcvvvi	标
bd	别
bdi	蛂
bdiavu	蛂
bdo	憋
bdoa	別
bdoaii	别 別
bdou	鳖
bdouo	蹩
bdouoa	憋
bdouoi	𱌇 蹩
bdouua	鳖
bdov	瘪
bdovu	㿜
bdovui	瘪 㿜
bdu	癿
bduiaa	癿
bduu	徶
bduuou	徶
bf	办
bfa	绊
bfaa	埿
bfaaou	绊
bfaavo	埿
bfai	阪
bfaiuu	阪
bfao	湴
bfaouv	湴
bfau	姅
bfauoo	办
bfauou	姅
bfi	搬
bfia	蝂
bfiau	岅
bfiaui	蝂
bfiauu	岅
bfio	伴
bfiou	钣
bfiouu	钣
bfiouv	伴
bfiu	扳
bfiuo	拌
bfiuou	拌
bfiuu	扮
bfiuuo	扮
bfiuuu	扳 搬
bfo	半
bfoi	昄
bfoio	𬮳
bfoioo	𬮳
bfoiu	𧿨
bfoiuu	昄 𧿨
bfoo	怑
bfooou	怑
bfou	粄
bfouuu	粄
bfouvv	半
bfov	瓣
bfovi	𨭉
bfovio	𨭉
bfovo	斒
bfovoa	斒
bfovov	辬
bfovu	瘢
bfovuu	瓣 瘢
bfovv	癍
bfovvv	癍
bfu	版
bfuiuu	版
bfuo	颁
bfuou	攽
bfuouv	攽
bfuovu	颁
bfuu	般
bfuui	搫
bfuuiu	搫
bfuuu	舨
bfuuua	般
bfuuuu	舨
bfv	班
bfvi	靽
bfviou	靽
bfvo	坂
bfvoo	坢
bfvoou	坢
bfvou	柈
bfvouu	坂
bfvouv	柈
bfvu	板
bfvuua	板
bfvv	斑
bfvvou	班
bfvvov	斑
bfvvv	㚘
bfvvvv	㚘
bg	并
bga	屏
bgaa	𰬔
bgaaou	𰬔
bgai	陃
bgaivi	陃
bgav	屛
bgavou	屏
bgavuv	屛
bgi	摒
bgia	蛃
bgiav	偋
bgiavi	蛃
bgiavu	偋
bgii	仌
bgiii	仌
bgio	氷
bgioau	氷
bgioo	仒
bgiooo	仒
bgioou	𰽼
bgiou	併
bgioui	𲇿
bgiouv	併
bgiov	傡
bgiovo	傡
bgiu	倂
bgiuav	摒
bgiuu	掤
bgiuuu	掤
bgiuv	抦
bgiuvi	抦
bgiuvv	倂
bgo	病
bgoi	昺
bgoiv	昞
bgoivi	昺 昞
bgoo	寎
bgooai	寎
bgoov	怲
bgoovi	怲
bgou	炳
bgouv	並
bgouvi	炳 並
bgouvv	并
bgov	冰
bgovaa	冰
bgovi	𠰳
bgovia	𠰳
bgovo	竝
bgovou	庰
bgovov	竝
bgovu	稟
bgovuv	稟
bgovv	禀 冫
bgovvi	病
bgovvv	禀
bgu	兵
bgua	饼
bguaou	饼
bguiuo	兵
bguv	秉
bguvav	秉
bguvu	幷
bguvuv	幷
bgv	柄
bgvi	丙
bgvia	邴
bgviai	邴
bgviau	丙
bgviu	鞞
bgviui	鞞
bgviv	鞆
bgvivi	鞆
bgvo	槟
bgvooa	槟
bgvou	栟
bgvouv	栟
bgvov	靐
bgvova	栤
bgvovo	靐
bgvu	梹
bgvuiv	梹
bgvuv	棅
bgvuva	棅
bgvvia	柄
bh	白
bha	败
bhaouv	败
bhav	擘
bhaviu	擘
bhi	摆
bhiu	拜
bhiui	伯
bhiuia	伯 摆
bhiuu	掰
bhiuui	捭
bhiuuo	掰
bhiuuu	挀
bhiuv	拝
bhiuvv	拜 拝
bhiv	佰
bhivuo	佰
bho	呗
bhoa	䙓
bhoaia	䙓
bhoaoo	呗
bhoi	𨃅
bhoiiu	𨃅
bhoiu	㗑
bhoiuv	㗑
bhou	粨
bhouvu	粨
bhov	竡
bhovu	庍
bhovuu	庍
bhovvu	竡
bhu	稗
bhui	㿟
bhuiav	白
bhuiui	㿟
bhuvui	稗
bhv	百
bhvu	柏
bhvui	㓦
bhvuia	柏
bhvuii	㓦
bhvuoi	百
bhvv	𫖔
bhvvu	栢
bhvvuo	栢
bhvvvi	𫖔
bj	部
bja	婄
bjai	陠
bjaivi	陠
bjauov	婄
bji	步
bjia	峬
bjiavi	峬
bjii	蔀
bjiiov	蔀
bjio	卜
bjioo	卜
bjiov	钚
bjiovo	堡
bjiovu	钸 钚
bjiu	捕
bjiui	捗
bjiuiv	捗
bjiuv	抪
bjiuvi	捕
bjiuvu	抪
bjiv	佈
bjivi	歩
bjiviu	步 歩
bjiviv	歨
bjivui	佈
bjo	补
bjoa	𰵩
bjoaio	补
bjoavi	𰵩
bjoi	晡
bjoio	卟
bjoioo	卟
bjoivi	晡
bjoo	怖
bjoov	悑
bjoovi	悑
bjoovu	怖
bjov	哺
bjova	勏
bjovai	部
bjovau	勏
bjovia	哺
bjovo	廍
bjovov	廍
bjovu	吥
bjovui	咘 吥
bjovv	瓿
bjovva	瓿
bjovvi	庯
bju	簿
bjua	𫗦
bjuavi	𫗦
bjui	鿻
bjuivu	鿻
bjuv	篰
bjuvav	簿
bjuvov	篰
bjv	布
bjvi	逋
bjvii	醭
bjviii	醭
bjvioa	逋
bjviu	𬷕
bjviua	𬷕
bjviv	尃
bjvivi	尃
bjvo	埠
bjvoi	埗
bjvoiv	埗
bjvoui	埠
bjvov	埔
bjvovi	埔
bjvovu	㘵
bjvu	㱛
bjvuia	布
bjvuio	不
bjvuvu	㱛
bjvv	柨
bjvvui	柨
bk	比
bka	避
bkaa	纰
bkaao	𱅈
bkaaoa	𱅈
bkaava	纰
bkai	陛
bkaiu	䧗
bkaiuv	䧗
bkaiva	陛
bkao	泌
bkaoa	赑
bkaoao	泌 赑
bkau	婢
bkaui	濞
bkauia	濞
bkauo	妼
bkauoa	妼
bkauu	嬶
bkauui	婢 嬶
bkauv	妣
bkauva	妣
bkauvo	滗
bkauvu	娝
bkav	壁
bkava	嬖
bkavau	沘 𰛡 嬖
bkavo	辟
bkavoa	𫵘 避
bkavoi	湢 躄
bkavoo	屄
bkavov	襞 辟
bkavu	臂
bkavuu	臂
bkavv	璧
bkavva	𪪼
bkavvi	弻
bkavvo	壁
bkavvu	弼
bkavvv	璧
bki	蔽
bkia	睥
bkiao	㘠
bkiaoa	㘠
bkiau	髀
bkiaui	佊 崥 睥 髀
bkiav	畀
bkiavu	奰 畀
bkii	蓖
bkiia	薜
bkiiav	薜
bkiio	苾
bkiioa	苾
bkiiou	蔽
bkiiu	荸
bkiiui	萆 蓖
bkiiuo	荸
bkiiv	荜
bkiiva	芘 荜
bkio	铋
bkioa	佖
bkioao	佖
bkioi	幤
bkioia	幤
bkiooa	铋
bkiou	𫔇
bkioui	𫔇
bkiu	俾
bkiuia	俾
bkiv	偪
bkivoi	偪
bko	必
bkoa	裨
bkoaa	邲
bkoaai	邲
bkoaau	诐
bkoao	祕
bkoaoa	祕
bkoaou	必
bkoaui	裨
bkoi	闭
bkoia	躃
bkoiav	躃
bkoio	𮤲
bkoioa	𮤲
bkoiv	跸
bkoiva	跸
bkoivi	闭
bkoo	愎
bkooa	咇
bkooao	咇
bkooau	怶
bkooo	怭
bkoooa	怭
bkoouv	愎
bkoov	愊
bkoovo	愊
bkou	弊
bkoua	鄙
bkouai	鄙
bkoui	㡀
bkouia	㡀
bkouo	啚
bkouoi	啚
bkouu	敝
bkouuv	敝
bkouv	煏
bkouva	粃 𤇹
bkouvo	煏
bkouvu	獘 𡚁 弊
bkov	庇
bkova	哔
bkovau	吡 哔
bkovav	廦
bkovi	痹
bkovia	痹
bkovu	庳
bkovua	疕
bkovui	痺 庳
bkovv	疪
bkovva	庇 疪
bku	笔
bkua	匕
bkuaa	匕
bkuav	狴
bkuava	𮩛 狴
bkuavo	鲾
bkui	币
bkuiai	币
bkuii	鼻
bkuiia	鼻
bkuiu	皀
bkuiua	皀
bkuo	贲
bkuoao	贲
bkuu	彼
bkuuau	彼
bkuuv	舭
bkuuva	舭
bkuv	秘
bkuvi	箅
bkuvia	箆 箅
bkuviv	毴
bkuvo	馝
bkuvoa	秘 馝
bkuvoi	腷
bkuvu	篦
bkuvui	篦
bkuvuv	笔
bkuvv	秕
bkuvva	筚 秕
bkuvvu	𥷑
bkv	毕
bkva	毙
bkvao	毖
bkvaoa	毖
bkvau	柀
bkvaua	比
bkvaui	柀
bkvauo	毕
bkvav	坒
bkvavo	坒
bkvavu	毙
bkvavv	枈
bkvi	髲
bkviau	髲
bkvo	逼
bkvoa	柲
bkvoao	柲
bkvoi	畐
bkvoia	畐
bkvooa	逼
bkvov	堛
bkvovo	堛
bkvu	皕
bkvua	朼
bkvuaa	朼
bkvuu	觱
bkvuua	觱
bkvuuo	𠁆
bkvuv	夶
bkvuvu	皕 夶
bkvv	碧
bkvva	梐
bkvvau	梐
bkvvo	珌
bkvvoa	珌
bkvvoi	楅
bkvvv	𫖒
bkvvva	𫖒
bkvvvu	碧
bl	拨
bla	波
blaa	驳
blaai	剝
blaaii	剝
blaao	𱅐
blaaov	𱅐
blaaui	波
blaauo	驳
blaav	溊
blaavi	溊
blao	癶
blaouu	癶
blau	泊
blaui	淿
blauia	泊 淿
blauo	渤
blauoo	浡 渤
blav	剥
blava	孹
blavai	孹
blavi	擘
blavii	剥
blaviu	擘
blavu	艴
blavua	艴
blavv	檗
blavvv	檗
bli	播
blia	嶓
bliauo	嶓
bliav	髆
bliavi	髆
bliavu	帗
blii	薄
bliia	菠
bliiaa	菠
bliiav	蘗 薄
bliiu	蕃
bliiuo	葧 蕃
blio	钵
blioa	𬭛
blioaa	𬭛
blioo	卜
bliou	铂
blioui	铂
bliov	钹
bliovi	镈 钵
bliovu	钹
bliu	伯
bliua	仢
bliuao	仢
bliuau	拨
bliuia	伯
bliuo	侼
bliuoi	㩧
bliuoo	侼
bliuou	僠
bliuu	挬
bliuuo	播 挬
bliuv	搏
bliuvi	搏
blo	跛
bloa	啵
bloaa	袯
bloaau	啵 袯
bloao	襮
bloaoi	襮
bloi	踣
bloiau	跛
bloiov	踣
bloiu	趵
bloiua	趵
bloo	愽
blooi	嚗
blooiv	嚗
blooo	懪
bloooi	懪
bloov	壆
bloovi	愽
bloovo	壆
blou	哱
blouo	噃
blouoo	哱
blouou	噃
blouv	𠼭
blouvi	煿
blouvv	𠼭
blov	亳
blovuv	亳
blu	博
blua	饽
bluaa	𱇣
bluaau	𱇣
bluau	鲌
bluaui	鲌
bluauo	饽
bluav	馎
bluavi	馎
blui	帛
bluiia	帛
bluiu	魄
bluiui	魄
bluo	勃
bluoa	孛
bluoai	孛
bluoau	勃
bluou	鹁
bluoua	鹁
bluouv	㪍
bluovi	博
bluu	脖
bluuoo	脖
bluuu	舶
bluuua	瓝 般 彴
bluuui	舶
bluv	膊
bluva	箔
bluvau	箔
bluvav	簿
bluvia	膊
bluvu	馞
bluvuo	簙 馞
bluvv	簸
bluvvi	缽 簸
blv	玻
blva	檘
blvavu	檘
blvi	僰
blvii	欂
blviia	欂
blviii	僰
blvo	豰
blvovu	豰
blvu	柏
blvua	㝿
blvuau	㝿
blvui	礴
blvuia	盋 柏
blvuii	礡 礴
blvuo	桲
blvuoo	桲
blvuov	殕
blvuu	磻
blvuuo	磻
blvuv	砵
blvuvi	砵
blvvau	玻
bm	变
bma	边
bmaa	编
bmaai	缏
bmaaiv	缏
bmaaoa	编
bmao	贬
bmaoa	𨚕
bmaoai	𨚕
bmaouo	贬
bmaov	汴
bmaovi	汴
bmaovu	弁
bmau	辺
bmauoa	边 辺
bmauu	汳
bmauua	汳
bmi	便
bmia	蝙
bmiaa	峅
bmiaao	峅
bmiaoa	蝙
bmii	苄
bmiio	萹
bmiioa	萹
bmiiov	苄
bmiiu	藊
bmiiuv	藊
bmiu	抃
bmiuo	揙
bmiuoa	揙
bmiuov	抃
bmivia	便
bmo	遍
bmoa	扁
bmoaia	扁
bmoao	褊
bmoaoa	遍 褊
bmoi	昪
bmoiao	昪
bmoo	窆
bmooo	忭
bmoooa	惼
bmooov	忭
bmoouo	窆
bmou	煸
bmouo	炞
bmouoa	煸
bmouov	炞
bmov	辩
bmova	辫
bmovaa	亪 辫
bmovao	变
bmovi	卞
bmovio	卞
bmovo	辨
bmovoa	辩
bmovou	辨
bmovov	辡
bmovu	変
bmovua	変
bmu	笾
bmua	鳊
bmuai	𫚣
bmuaiv	𫚣
bmuaoa	鳊
bmui	邉
bmuioa	邉
bmuo	䐔
bmuoav	䐔
bmuou	釆
bmuouv	釆
bmuu	艑
bmuuo	徧
bmuuoa	艑 徧
bmuv	箯
bmuvau	笾
bmuviv	箯
bmuvo	稨
bmuvoa	稨
bmv	鞭
bmviiv	鞭
bmvo	匾
bmvoav	匾
bmvoo	𡍣
bmvoov	𡍣
bmvu	砭
bmvuo	碥
bmvuoa	碥
bmvuuo	砭
bn	本
bna	畚
bnao	奙
bnaoia	畚 奙
bnav	泍
bnaviu	泍
bnavu	渀
bnavuo	渀
bni	苯
bniivi	苯
bnio	锛
bniovu	锛
bniu	捹
bniua	撪
bniuao	撪
bniuvu	捹
bniv	倴
bnivuo	倴
bno	喯
bnou	𰞻
bnouuo	𰞻
bnovuo	喯
bnu	笨
bnuo	贲
bnuoao	贲
bnuoo	炃
bnuoou	炃
bnuov	坌
bnuovo	坌
bnuv	犇
bnuvuv	犇
bnuvvi	笨
bnv	奔
bnva	桳
bnvaov	桳
bnvi	㮺
bnvioo	㮺
bnviuo	本
bnvo	栟
bnvoo	楍
bnvooo	楍
bnvou	坋
bnvouo	坋
bnvouv	栟
bnvu	夯
bnvuau	夯
bnvuo	逩
bnvuoa	逩
bnvuu	夲
bnvuuo	奔 夲
bp	帮
bpa	绑
bpaa	𬴅
bpaaov	𬴅
bpaavv	绑
bpau	浜
bpauiv	浜
bpauo	嫎
bpauov	嫎
bpi	镑
bpia	蚌
bpiai	峀
bpiaia	峀
bpiao	髈
bpiaov	髈
bpiav	蜯
bpiavv	蚌 蜯
bpii	蒡
bpiiov	蒡
bpio	傍
bpioov	镑
bpiovo	傍
bpiu	搒
bpiuov	搒
bpiuv	挷
bpiuvv	挷
bpo	谤
bpoaov	谤
bpov	𠳐
bpovvv	𠳐
bpu	膀
bpui	牓
bpuiov	牓
bpuovo	膀
bpuu	艕
bpuuov	艕
bpuv	稖
bpuvov	稖
bpv	邦
bpvo	榜
bpvoi	幇
bpvoia	幇
bpvoo	塝
bpvoov	塝
bpvou	彭
bpvouu	彭
bpvov	棓
bpvovo	榜 棓
bpvovv	垹 埲
bpvu	磅
bpvuov	磅
bpvv	棒
bpvvai	邦
bpvvia	帮
bpvvu	幚
bpvvui	幚
bpvvv	梆
bpvvvv	玤 梆 棒
br	蹦
bra	绷
braa	𰬔
braaou	𰬔
braauu	绷
bri	崩
bria	蚌
briao	嵭
briaov	嵭
briauu	崩
briavv	蚌
brii	菶
briia	傰
briiai	傰
briivv	菶
brio	镚
brioia	镚
briu	揼
briuu	捠
briuui	捠
briuuu	掤
briuvu	揼
briv	伻
brivou	伻
bro	迸
broa	祊
broaov	祊
broi	嘣
broiai	嘣
broiia	蹦
brou	㷯
brouoa	迸
brouvv	㷯
brv	甭
brvi	䩬
brvio	鞛
brviov	鞛
brvivv	䩬
brvo	堋
brvoi	塴
brvoia	塴
brvou	埄
brvoua	埄
brvouu	堋
brvov	甏
brvova	甏
brvovo	䨻
brvovv	埲 𥛱
brvu	泵
brvuaa	泵
brvuu	奟
brvuua	甭
brvuuu	奟
brvv	琫
brvvvv	琫
bs	把
bsa	巴
bsai	巼
bsaiou	巼
bsaiva	巴
bsao	癹
bsaoua	癹
bsau	妭
bsauvu	妭
bsav	灞
bsava	㞎
bsavai	弝 㞎
bsavoa	灞
bsi	拔
bsia	罢
bsiaa	岜
bsiaai	蚆 岜
bsiai	峇
bsiaiv	峇
bsiavo	罢
bsii	芭
bsiiai	芭
bsiii	菝
bsiiiu	菝
bsiiv	茇
bsiivu	茇
bsio	钯
bsioai	钯
bsiu	扒
bsiuai	把
bsiuo	捌
bsiuoa	捌
bsiuoo	仈
bsiuuo	扒
bsiuv	抜
bsiuvu	拔 抜
bsiv	𫜨
bsivai	𫜨
bso	吧
bsoaiv	吧
bsoi	跋
bsoivu	跋
bsoo	哵
bsooau	哵
bsou	叭
bsoua	粑
bsouai	羓 粑
bsouoo	叭
bsouu	丷
bsouv	炦
bsouvu	炦
bsov	疤
bsovai	疤
bsu	八
bsua	鲅
bsuaa	鲃
bsuaai	鲃
bsuai	𠙣
bsuaia	𠙣
bsuau	鲌
bsuaui	鲌
bsuavu	鲅
bsui	魃
bsuiv	鼥
bsuivu	魃 鼥
bsuo	爸
bsuoai	爸
bsuoo	八
bsuv	笆
bsuva	叐
bsuvai	𣬶 笆
bsuvao	叐
bsuvi	𫁂
bsuvia	𫁂
bsuvu	胈
bsuvua	胈
bsv	霸
bsvi	靶
bsviai	靶
bsviu	䩗
